lesson	授業	じゅぎょう	男子も女子も学校で料理の授業をとるべきだ。	
teacher	教授	きょうじゅ		
wide-ranging	多岐にわたる	たきにわたる	その講演の内容は多岐にわたっていた。	
collapse	崩壊	ほうかい	橋は強い流れに耐えられず崩壊した。	
withdrawal	撤退	てったい	敗北した軍はその国から撤退した。	
urgent	至急	しきゅう	至急御返事いただけませんか。	
bracket	括弧	かっこ		
mountain pass	峠	とうげ	私達が峠にさしかかる頃に雨になった。	
secret	秘密	ひみつ		
canned goods	缶詰め	かんづめ		
resign	辞職	じしょく	彼は病気を理由に辞職した。	
continuation	継続	けいぞく	交渉を継続することで合意しました。	
delight	恐悦	きょうえつ		
disposal, scrapping	廃棄	はいき	その工場は古い機械類を廃棄することにした。	
distribution	頒布	はんぷ	ＧＰＬのルールに従い頒布可能です。	
house sitting	留守番	るすばん		
tearing up and discarding a contract	破棄	はき	彼らは婚約を破棄した。	
report	報告	ほうこく	日本の最新動向について報告したいと思います。	
guess	憶測	おくそく		
toughen up	鍛える	きたえる		
evidence	証言	しょうげん		
defeat	敗北	はいぼく		
refusal	否定	ひてい		
mechanism	機構	きこう		
rechargeable	充電式	じゅうでんしき		
preparation	準備	じゅんび		
deletion	抹消	まっしょう	チャーリーは最後の語を抹消することに決めた。	
lawsuit	訴訟	そしょう	私は訴訟に変わる物があればなんでもいい。	
long sleeved	長袖	ながそで		
portable(phone)	携帯	けいたい		
passenger	乗客	じょうきゃく		
germs	バイ菌	ばいきん		
luxury	贅沢	ぜいたく	今の様に贅沢はできなかった。	
waste ground	空き地	あきち		
contact	触り合い	ふりあい	人々のあいだに温かな触り合いがあった。	
coast	沿岸	えんがん	沿岸地帯には津波警報が出た。	
control, grasping	掌握	しょうあく	彼女は担任のクラスをよく掌握している。	
old lady	老婆	ろうば		
wedding reception	披露宴	ひろうえん		
sloppy	拙速	せっそく		
photograph	写真	しゃしん		
right in the middle	真ん中	まんなか		
suggestion	示唆	しさ	彼は私たちにとどまるように示唆した。	
idiosyncrasy, individual character	個性	こせい	みんな独自の個性を持っている。	
authority, influence	権威	けんい	何の権威であなたは私にこれをしろと命令するのか。	
pastor	牧師	ぼくし	その牧師は貧乏人のために懸命に働いた。	
item, heading, headword	項目	こうもく	これは何の項目に入るか。	
"get on someone's nerves"	神経に障る	しんけいにさわる	彼女の行動は本当に私神経に障った。	
